date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:36:38	128414/128414	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jul%202013%2017:57:47%20GMT	http://www.cyclemon.com/shop/images/gangsta1.jpg	/home/rafael/websites/Pokemon/www.cyclemon.com/shop/images/gangsta1.jpg	(from http://www.cyclemon.com/shop/index.html)
00:36:38	17241/17241	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jul%202013%2017:57:54%20GMT	http://www.cyclemon.com/shop/images/tra.jpg	/home/rafael/websites/Pokemon/www.cyclemon.com/shop/images/tra.jpg	(from http://www.cyclemon.com/shop/index.html)
00:36:40	16719/16719	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jul%202013%2017:57:55%20GMT	http://www.cyclemon.com/shop/images/we.jpg	/home/rafael/websites/Pokemon/www.cyclemon.com/shop/images/we.jpg	(from http://www.cyclemon.com/shop/index.html)
00:36:41	17103/17103	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jul%202013%2017:57:48%20GMT	http://www.cyclemon.com/shop/images/hip.jpg	/home/rafael/websites/Pokemon/www.cyclemon.com/shop/images/hip.jpg	(from http://www.cyclemon.com/shop/index.html)
00:36:42	14663/14663	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jul%202013%2017:57:51%20GMT	http://www.cyclemon.com/shop/images/run.jpg	/home/rafael/websites/Pokemon/www.cyclemon.com/shop/images/run.jpg	(from http://www.cyclemon.com/shop/index.html)
00:36:43	13814/13814	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jul%202013%2017:57:55%20GMT	http://www.cyclemon.com/shop/images/vin.jpg	/home/rafael/websites/Pokemon/www.cyclemon.com/shop/images/vin.jpg	(from http://www.cyclemon.com/shop/index.html)
00:36:44	18354/18354	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jul%202013%2017:57:45%20GMT	http://www.cyclemon.com/shop/images/gan.jpg	/home/rafael/websites/Pokemon/www.cyclemon.com/shop/images/gan.jpg	(from http://www.cyclemon.com/shop/index.html)
00:36:46	10651/10651	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jul%202013%2017:57:51%20GMT	http://www.cyclemon.com/shop/images/rig.jpg	/home/rafael/websites/Pokemon/www.cyclemon.com/shop/images/rig.jpg	(from http://www.cyclemon.com/shop/index.html)
00:36:48	26616/26616	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Jul%202013%2012:25:20%20GMT	http://www.cyclemon.com/shop/images/lil.jpg	/home/rafael/websites/Pokemon/www.cyclemon.com/shop/images/lil.jpg	(from http://www.cyclemon.com/shop/index.html)
00:36:50	13930/13930	---M--	200	added ('OK')	image/jpeg	date:Tue,%2009%20Jul%202013%2017:57:55%20GMT	http://www.cyclemon.com/shop/images/war.jpg	/home/rafael/websites/Pokemon/www.cyclemon.com/shop/images/war.jpg	(from http://www.cyclemon.com/shop/index.html)
